company_name,name,description,link,start_date,host_company_domains,image,tweet_link,tweet_text,webinar_link,image_link,word
dwolla,,,,,,,https://twitter.com/dwolla/status/1315694192946012160,"RT @FinTech_Series: This Monday morning, catch some thoughts from Brady Harris, CEO at @dwolla, on the growing opportunities that #virtuale…",,,event
dwolla,,,,,,,https://twitter.com/dwolla/status/1313156476245073921,Tune into today's @pymnts fireside chat with @dwollabrady as he talks about B2B Payments 2021. Register for free to join the conversation of the month-long event: https://t.co/Zc1PUy8xtu #B2Bpayments2021 #PYMNTSTV,https://hubs.la/H0xqWLs0,,event
dwolla,,,,,,,https://twitter.com/dwolla/status/1295372558943092739,"We've got a one-stop-shop for all of your ACH questions – complete with guides, webinars, ebooks, podcasts and interactive demos. 🖊  https://t.co/5tX3rn4Anl",https://hubs.ly/H0tFRvL0,,event
dwolla,,,,,,,https://twitter.com/dwolla/status/1288142458925318150,"Fraud is always a factor with payments, so be proactive to prevent potential problems! This webinar explains the basics of ACH risk management and best practices for understanding payment fraud. Watch now: https://t.co/PuFuIdcxdX",https://hubs.ly/H0sH63g0,,event
dwolla,,,,,,,https://twitter.com/dwolla/status/1277619094708158464,"Fraud is always a factor with payments, so be proactive to prevent potential problems! This webinar explains the basics of ACH risk management and best practices for understanding payment fraud. Watch now: https://t.co/7geeUo7wxC",https://bit.ly/2UmuHmz,,event
dwolla,,,,,,,https://twitter.com/dwolla/status/1270401195237130244,"Our CEO @dwollabrady is a guest on the @payments_source podcast, discussing how he is managing a new role during a pandemic. https://t.co/ehLtP9RIvv",https://twitter.com/payments_source/status/1270392709090598912,,podcast
dwolla,,,,,,,https://twitter.com/dwolla/status/1266790480051875841,"We've got a one-stop-shop for all of your ACH questions – complete with guides, webinars, ebooks, podcasts and interactive demos. 🖊 https://t.co/1Fx16ljmlR",https://bit.ly/2RHV5V4,,podcast
dwolla,,,,,,,https://twitter.com/dwolla/status/1262711352050823170,Our new CEO @dwollabrady was recently featured on the @BigFintech podcast with @154Advisors talking about his first month on the job and his plans for scaling Dwolla! Listen here 🎧 🎧 ➡️ ➡️ https://t.co/ftOcw6tWP5,https://bit.ly/2X4aG4r,,podcast
dwolla,,,,,,,https://twitter.com/dwolla/status/1257752680061116416,From Y-Combinator to a global company: Learn how Dwolla partner @GetSift is revolutionizing the world of fraud prevention. 📈 https://t.co/9cItizk5gE #FinTech #Podcast,https://bit.ly/35xb2UU,,event
dwolla,,,,,,,https://twitter.com/dwolla/status/1253702261169061889,"What’s next for ACH payments, and what’s next for Dwolla? Tune in to the @Tearsheetco podcast with our CEO @dwollabrady to hear about changes happening in online payments.
https://t.co/B9uCJVpiDd",https://bit.ly/2VBe1bv,,podcast
dwolla,,,,,,,https://twitter.com/dwolla/status/1250533934116540418,Our CEO @dwollabrady was recently featured in the @BigFintech podcast to talk about Dwolla’s growth plans! https://t.co/sk8f0vAUjw,https://www.big-fintech.com/Media/BIGcast/ArticleID/511/Dollars-Flowing,,podcast
